"School_Type","Location","Infrastructure","Teaching_Staff","Gender","Caste","Age","Standard","Socioeconomic_Status","Dropout_Status","Dropout_Reason"
"Government","Semi-Urban","Poor","Poor","Male","SC","14","8","Low","Dropout","Family issues"
"Private","Rural","Basic","Good","Female","General","15","7","High","Enrolled","N/A"
"Government","Rural","Good","Excellent","Male","ST","13","9","Moderate","Dropout","Financial"
"Private","Semi-Urban","Basic","Good","Female","OBC","12","10","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","SC","16","8","Low","Dropout","Health issues"
"Government","Semi-Urban","Good","Good","Female","ST","14","9","Moderate","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","OBC","15","10","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","13","8","Low","Dropout","Financial"
"Private","Semi-Urban","Good","Good","Male","SC","14","7","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","OBC","15","8","Moderate","Dropout","Health issues"
"Government","Semi-Urban","Good","Good","Female","General","16","10","Low","Dropout","Family issues"
"Private","Rural","Basic","Poor","Male","ST","14","8","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Female","OBC","15","9","Moderate","Dropout","Financial"
"Government","Rural","Basic","Excellent","Male","SC","13","7","Low","Dropout","Health issues"
"Private","Rural","Basic","Poor","Female","ST","16","10","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","General","14","9","Moderate","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","ST","15","10","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","14","8","Low","Dropout","Financial"
"Private","Semi-Urban","Good","Good","Male","SC","15","9","High","Enrolled","N/A"
"Government","Urban","Basic","Poor","Male","General","13","8","Moderate","Dropout","Health issues"
"Private","Semi-Urban","Good","Good","Female","OBC","14","7","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","ST","15","8","Moderate","Dropout","Family issues"
"Government","Rural","Basic","Excellent","Female","General","16","10","Low","Dropout","Financial"
"Private","Rural","Basic","Good","Male","SC","13","7","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Poor","Male","ST","14","8","Low","Dropout","Health issues"
"Government","Rural","Basic","Excellent","Female","OBC","15","9","Low","Dropout","Financial"
"Government","Rural","Basic","Poor","Female","General","16","10","Low","Dropout","Family issues"
"Private","Semi-Urban","Good","Good","Male","SC","14","8","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","OBC","15","9","Moderate","Dropout","Health issues"
"Private","Semi-Urban","Good","Good","Female","ST","16","10","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","General","14","8","Low","Dropout","Financial"
"Private","Urban","Basic","Excellent","Female","OBC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","General","15","9","Low","Dropout","Family issues"
"Private","Semi-Urban","Good","Good","Female","SC","16","10","Low","Enrolled","N/A"
"Government","Rural","Basic","Excellent","Male","ST","14","8","Moderate","Dropout","Financial"
"Private","Semi-Urban","Good","Good","Female","OBC","15","9","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","General","16","10","Low","Dropout","Health issues"
"Government","Rural","Basic","Excellent","Female","ST","14","8","Low","Dropout","Family issues"
"Private","Semi-Urban","Good","Good","Male","SC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","16","10","Moderate","Dropout","Financial"
"Government","Semi-Urban","Good","Good","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Urban","Basic","Poor","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Excellent","Female","General","16","10","Low","Dropout","Family issues"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","12","Low","Dropout","Financial"
"Government","Rural","Basic","Excellent","Male","ST","15","9","Low","Dropout","Health issues"
"Private","Urban","Poor","Female","Male","OBC","12","12","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","9","Low","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","10","Low","Dropout","Health issues"
"Private","Urban","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","ST","16","10","Moderate","Dropout","Family issues"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","9","Moderate","Dropout","Financial"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","9","Low","Dropout","Family issues"
"Private","Urban","Basic","Excellent","Male","ST","15","9","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","ST","16","10","Low","Dropout","Family issues"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","12","Low","Dropout","Health issues"
"Private","Urban","Basic","Excellent","Male","General","15","9","Low","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Moderate","Dropout","Financial"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","10","Low","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","OBC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","12","Low","Dropout","Family issues"
"Private","Urban","Basic","Excellent","Male","SC","15","9","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Moderate","Dropout","Financial"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","12","Low","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Family issues"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","12","Low","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","ST","16","10","Moderate","Dropout","Financial"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","12","Moderate","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","OBC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Poor","Male","Male","OBC","12","12","Low","Dropout","Family issues"
"Private","Urban","Basic","Excellent","Male","SC","15","9","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Low","Dropout","Financial"
"Government","Rural","Basic","Poor","Male","General","15","9","Low","Dropout","Family issues"
"Private","Semi-Urban","Good","Good","Female","SC","16","10","High","Enrolled","N/A"
